                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7962,                0.70413,                0.95197,                 3.1163,              0.0033326,              0.0033326,              0.0033326
                      2,                 1.1504,                0.90115,                0.99482,                 2.8323,              0.0066594,              0.0066594,              0.0066594
                      3,                 0.8072,                0.93529,                0.99784,                 2.7789,              0.0099602,              0.0099602,              0.0099602
                      4,                 0.6013,                0.96438,                0.99943,                  2.738,              0.0099123,              0.0099123,              0.0099123
                      5,                0.40427,                0.97473,                0.99972,                 2.7212,              0.0098445,              0.0098445,              0.0098445
                      6,                0.32904,                0.97837,                 0.9996,                 2.7144,              0.0097577,              0.0097577,              0.0097577
                      7,                0.27909,                0.98446,                0.99989,                 2.7064,              0.0096524,              0.0096524,              0.0096524
                      8,                 0.2539,                0.98714,                0.99983,                 2.7028,              0.0095289,              0.0095289,              0.0095289
                      9,                0.23124,                0.98885,                0.99989,                 2.7001,              0.0093877,              0.0093877,              0.0093877
                     10,                0.22021,                0.99027,                0.99994,                 2.6987,              0.0092294,              0.0092294,              0.0092294
                     11,                0.19963,                0.99072,                0.99983,                 2.6974,              0.0090546,              0.0090546,              0.0090546
                     12,                0.18884,                0.99209,                0.99989,                 2.6959,               0.008864,               0.008864,               0.008864
                     13,                 0.1779,                 0.9922,                0.99989,                 2.6954,              0.0086584,              0.0086584,              0.0086584
                     14,                0.16895,                0.99203,                0.99989,                  2.695,              0.0084385,              0.0084385,              0.0084385
                     15,                0.16434,                0.99243,                0.99989,                 2.6945,              0.0082052,              0.0082052,              0.0082052
                     16,                0.15383,                0.99249,                0.99989,                 2.6943,              0.0079595,              0.0079595,              0.0079595
                     17,                0.14822,                0.99289,                0.99989,                  2.694,              0.0077023,              0.0077023,              0.0077023
                     18,                0.13957,                0.99289,                0.99989,                 2.6938,              0.0074347,              0.0074347,              0.0074347
                     19,                0.13339,                0.99328,                0.99994,                 2.6937,              0.0071576,              0.0071576,              0.0071576
                     20,                0.13202,                0.99323,                0.99994,                 2.6935,              0.0068722,              0.0068722,              0.0068722
                     21,                  0.119,                0.99351,                0.99994,                 2.6934,              0.0065796,              0.0065796,              0.0065796
                     22,                0.12289,                0.99357,                0.99994,                 2.6933,               0.006281,               0.006281,               0.006281
                     23,                0.10849,                0.99346,                0.99994,                 2.6932,              0.0059775,              0.0059775,              0.0059775
                     24,                0.10785,                0.99374,                0.99994,                 2.6929,              0.0056704,              0.0056704,              0.0056704
                     25,                0.10045,                 0.9938,                0.99994,                 2.6927,              0.0053608,              0.0053608,              0.0053608
                     26,                0.09425,                0.99391,                0.99994,                 2.6923,                0.00505,                0.00505,                0.00505
                     27,                0.08799,                0.99402,                0.99994,                 2.6921,              0.0047392,              0.0047392,              0.0047392
                     28,                0.08551,                0.99391,                0.99994,                 2.6921,              0.0044296,              0.0044296,              0.0044296
                     29,                0.07789,                0.99385,                0.99994,                 2.6917,              0.0041225,              0.0041225,              0.0041225
                     30,                0.07254,                0.99397,                0.99994,                 2.6916,               0.003819,               0.003819,               0.003819
                     31,                0.06884,                0.99414,                0.99994,                 2.6916,              0.0035204,              0.0035204,              0.0035204
                     32,                0.06535,                0.99437,                0.99994,                 2.6914,              0.0032278,              0.0032278,              0.0032278
                     33,                0.05772,                0.99465,                0.99994,                 2.6913,              0.0029424,              0.0029424,              0.0029424
                     34,                0.05409,                0.99476,                0.99994,                  2.691,              0.0026653,              0.0026653,              0.0026653
                     35,                0.04862,                0.99482,                0.99994,                 2.6909,              0.0023977,              0.0023977,              0.0023977
                     36,                0.04509,                0.99499,                0.99994,                 2.6906,              0.0021405,              0.0021405,              0.0021405
                     37,                0.04165,                0.99516,                0.99994,                 2.6904,              0.0018948,              0.0018948,              0.0018948
                     38,                0.03881,                0.99511,                0.99994,                 2.6901,              0.0016615,              0.0016615,              0.0016615
                     39,                0.03725,                0.99533,                0.99994,                 2.6899,              0.0014416,              0.0014416,              0.0014416
                     40,                0.03369,                0.99573,                0.99994,                 2.6896,               0.001236,               0.001236,               0.001236
                     41,                0.03107,                0.99596,                0.99994,                 2.6893,              0.0010454,              0.0010454,              0.0010454
                     42,                0.03001,                0.99619,                0.99994,                  2.689,             0.00087058,             0.00087058,             0.00087058
                     43,                0.02652,                0.99613,                0.99994,                 2.6886,             0.00071228,             0.00071228,             0.00071228
                     44,                0.02617,                0.99653,                0.99994,                 2.6883,             0.00057111,             0.00057111,             0.00057111
                     45,                0.02395,                 0.9967,                0.99994,                 2.6879,             0.00044761,             0.00044761,             0.00044761
                     46,                 0.0219,                0.99698,                0.99994,                 2.6876,             0.00034227,             0.00034227,             0.00034227
                     47,                0.02243,                0.99704,                0.99994,                 2.6874,             0.00025551,             0.00025551,             0.00025551
                     48,                0.02076,                 0.9971,                0.99994,                 2.6871,             0.00018768,             0.00018768,             0.00018768
                     49,                0.02073,                0.99733,                0.99994,                 2.6868,             0.00013903,             0.00013903,             0.00013903
                     50,                0.02005,                0.99738,                0.99994,                 2.6866,             0.00010977,             0.00010977,             0.00010977
